source,target,round,author
r2-v0,r1-v2,2,0
r2-v0,r1-v1,2,0
r2-v0,r1-v3,2,0
r3-v0,r2-v0,3,0
r3-v2,r2-v0,3,2
r3-v3,r2-v0,3,3
r4-v0,r3-v3,4,0
r4-v0,r3-v0,4,0
r4-v0,r3-v2,4,0
r4-v3,r3-v0,4,3
r4-v3,r3-v2,4,3
r4-v3,r3-v3,4,3
r5-v0,r4-v0,5,0
r5-v0,r4-v3,5,0
r5-v2,r4-v3,5,2
r5-v2,r4-v0,5,2
r5-v3,r4-v3,5,3
r5-v3,r4-v0,5,3
r6-v0,r5-v0,6,0
r6-v0,r5-v2,6,0
r6-v0,r5-v3,6,0
r6-v3,r5-v0,6,3
r6-v3,r5-v2,6,3
r6-v3,r5-v3,6,3
r6-v1,r5-v0,6,1
r6-v1,r5-v2,6,1
r6-v1,r5-v3,6,1
r7-v3,r6-v3,7,3
r7-v3,r6-v0,7,3
r7-v3,r6-v1,7,3
r7-v1,r6-v0,7,1
r7-v1,r6-v1,7,1
r7-v1,r6-v3,7,1
r8-v3,r7-v3,8,3
r8-v3,r7-v1,8,3
r8-v2,r7-v3,8,2
r8-v2,r7-v1,8,2
r9-v2,r8-v2,9,2
r9-v2,r8-v3,9,2
r9-v1,r8-v2,9,1
r9-v1,r8-v3,9,1
r9-v3,r8-v3,9,3
r9-v3,r8-v2,9,3
r10-v3,r9-v3,10,3
r10-v3,r9-v2,10,3
r10-v3,r9-v1,10,3
r10-v2,r9-v2,10,2
r10-v2,r9-v1,10,2
r10-v2,r9-v3,10,2
r10-v0,r9-v2,10,0
r10-v0,r9-v1,10,0
r10-v0,r9-v3,10,0
